"Subject","ACC_Id_Good_Self","ACC_Id_Good_Other","ACC_Id_Bad_Self","ACC_Id_Bad_Other","ACC_Val_Good_Self","ACC_Val_Good_Other","ACC_Val_Bad_Self","ACC_Val_Bad_Other","RT_Id_Good_Self","RT_Id_Good_Other","RT_Id_Bad_Self","RT_Id_Bad_Other","RT_Val_Good_Self","RT_Val_Good_Other","RT_Val_Bad_Self","RT_Val_Bad_Other"
7003,1,0.958333333333333,0.958333333333333,0.944444444444444,0.944444444444444,0.972222222222222,0.986111111111111,0.986111111111111,596.097222222222,608.572463768116,565.8,632.798529411765,564.388235294118,533.934285714286,589.246478873239,598.278873239437
7004,0.833333333333333,0.916666666666667,0.802816901408451,0.958333333333333,1,0.777777777777778,0.888888888888889,1,502.845,552.793939393939,525.673684210526,519.872463768116,502.672222222222,551.025,479.7015625,476.383333333333
7005,1,1,0.930555555555556,0.888888888888889,1,0.958333333333333,0.986111111111111,0.930555555555556,491.343055555556,466.256944444444,535.431343283582,484.31875,451.616666666667,499.826086956522,540.540845070423,519.14776119403
7006,0.875,0.944444444444444,0.916666666666667,0.888888888888889,0.944444444444444,0.986111111111111,1,0.916666666666667,547.244444444444,474.925,541.722727272727,574.665625,461.061764705882,449.811267605634,432.5625,474.531818181818
7007,0.958333333333333,0.972222222222222,0.958333333333333,0.986111111111111,0.972222222222222,0.972222222222222,0.958333333333333,1,500.831884057971,545.004285714286,504.572463768116,519.228169014085,510.508571428571,520.678571428571,591.171014492754,508.295833333333
7008,0.708333333333333,0.694444444444444,0.777777777777778,0.736111111111111,0.888888888888889,0.875,0.888888888888889,0.930555555555556,410.598039215686,456.31,422.128571428571,435.096226415094,467.48125,509.579365079365,537.7078125,515.508955223881
7009,0.777777777777778,0.791666666666667,0.819444444444444,0.833333333333333,0.972222222222222,0.875,0.902777777777778,0.902777777777778,611.716071428571,637.368421052632,683.766101694915,565.306666666667,543.261428571429,584.060317460317,596.52,541.153846153846
7010,0.972222222222222,0.986111111111111,1,0.972222222222222,0.972222222222222,1,0.986111111111111,0.944444444444444,439.93,413.628169014085,407.440277777778,423.185714285714,505.942857142857,437.668055555556,457.647887323944,486.573529411765
7011,0.944444444444444,0.958333333333333,0.958333333333333,0.944444444444444,0.958333333333333,0.916666666666667,0.902777777777778,0.944444444444444,479.048529411765,577.35652173913,450.397101449275,507.761764705882,532.823188405797,512.789393939394,540.049230769231,531.805882352941
7012,0.958333333333333,0.861111111111111,0.819444444444444,0.875,0.708333333333333,0.708333333333333,0.680555555555556,0.732394366197183,453.942028985507,518.367741935484,524.449152542373,490.877777777778,486.378431372549,518.894117647059,464.359183673469,479.875
7013,0.986111111111111,0.958333333333333,0.958333333333333,0.944444444444444,1,0.944444444444444,0.986111111111111,0.986111111111111,476.371830985915,524.2,557.2,546.507352941176,430.441666666667,468.075,517.685915492958,505
7014,0.703125,0.580645161290323,0.430769230769231,0.215384615384615,0.884057971014493,0.884057971014493,0.794117647058823,0.0428571428571429,528.526666666667,557.680555555556,516.178571428571,500.55,467.977049180328,419.265573770492,500.783333333333,716.9
7015,0.930555555555556,0.888888888888889,0.930555555555556,0.944444444444444,0.930555555555556,0.916666666666667,0.763888888888889,0.958333333333333,511.761194029851,537.2828125,490.920895522388,526.104411764706,509.067164179105,524.698484848485,563.690909090909,517.784057971014
7016,0.972222222222222,0.805555555555556,0.930555555555556,0.986111111111111,1,0.944444444444444,0.847222222222222,0.986111111111111,469.12,636.555172413793,556.014925373134,520.107042253521,528.490277777778,644.229411764706,615.193442622951,531.504225352113
7018,1,1,1,1,1,1,1,1,518.106944444444,490.655555555556,496.345833333333,576.541666666667,493.336111111111,427.102777777778,495.236111111111,515.873611111111
7019,0.958333333333333,0.888888888888889,0.916666666666667,0.916666666666667,0.902777777777778,0.847222222222222,0.902777777777778,0.875,562.76231884058,612.6953125,587.092424242424,565.9,580.489230769231,551.375409836066,588.164615384615,578.352380952381
7020,1,0.958333333333333,1,1,1,0.958333333333333,0.986111111111111,1,563.061111111111,599.091304347826,548.497222222222,579.6,630.543055555555,640.336231884058,627.750704225352,620.411111111111
7022,0.861111111111111,0.902777777777778,0.833333333333333,0.944444444444444,0.986111111111111,0.986111111111111,0.958333333333333,0.861111111111111,643.414516129032,648.789230769231,626.971666666667,670.676470588235,558.628169014085,557.525352112676,620.611594202899,655.941935483871
7023,0.958333333333333,0.75,0.666666666666667,0.916666666666667,0.875,0.986111111111111,0.958333333333333,0.972222222222222,486.078260869565,560.059259259259,527.829166666667,535.883333333333,533.033333333333,478.295774647887,506.595652173913,512.848571428571
7024,0.590163934426229,0.523076923076923,0.580645161290323,0.540983606557377,0.683333333333333,0.588235294117647,0.682539682539683,0.7,373.811111111111,385.988235294118,344.980555555556,424.106060606061,388.419512195122,442.15,465.076744186046,448.630952380952
7025,0.958333333333333,0.888888888888889,0.75,0.986111111111111,1,0.791666666666667,0.958333333333333,0.972222222222222,521.205797101449,558.8578125,585.324074074074,506.981690140845,480.7125,560.347368421053,501.455072463768,490.632857142857
7026,0.833333333333333,0.986111111111111,0.819444444444444,0.875,0.833333333333333,0.972222222222222,0.930555555555556,0.833333333333333,517,438.22676056338,503.969491525424,501.750793650794,547.34,475.075714285714,544.874626865672,608.625
7028,1,0.847222222222222,0.902777777777778,0.972222222222222,0.986111111111111,0.833333333333333,0.930555555555556,0.958333333333333,538.933333333333,667.619672131148,606.96,594.551428571429,558.529577464789,657.601666666667,640.001492537313,598.950724637681
7029,0.930555555555556,0.791666666666667,0.875,0.888888888888889,0.930555555555556,0.819444444444444,0.944444444444444,0.902777777777778,561.265671641791,646.09649122807,587.415873015873,596.8546875,533.517910447761,586.884745762712,616.323529411765,604.395384615385
7030,0.986111111111111,0.986111111111111,1,1,0.944444444444444,0.958333333333333,0.986111111111111,0.986111111111111,479.412676056338,449.53661971831,474.045833333333,465.154166666667,524.425,487.059420289855,528.367605633803,540.608450704225
7031,0.930555555555556,0.888888888888889,0.916666666666667,0.958333333333333,0.875,0.777777777777778,0.763888888888889,0.916666666666667,618.813432835821,692.5796875,560.143939393939,618.998550724638,605.712698412698,673.023214285714,668.816363636364,617.456060606061
7032,0.902777777777778,0.830985915492958,0.857142857142857,0.814285714285714,0.958333333333333,0.75,0.75,0.861111111111111,419.246153846154,580.491525423729,503.416666666667,535.401754385965,507.323188405797,662.97962962963,679.161111111111,628.903225806452
7033,0.944444444444444,0.944444444444444,0.986111111111111,0.986111111111111,0.986111111111111,0.916666666666667,0.972222222222222,0.986111111111111,578.423529411765,594.207352941177,589.970422535211,458.216901408451,517.185915492958,554.077272727273,447.728571428571,454.828169014084
7034,0.958333333333333,0.805555555555556,0.76056338028169,0.944444444444444,0.958333333333333,0.972222222222222,0.930555555555556,0.958333333333333,491.265217391304,447.327586206897,475.118518518518,474.713235294118,464.166666666667,410.014285714286,422.679104477612,475.588405797101
