expID,subjID,slfEsteem_1,slfEsteem_2,slfEsteem_3,slfEsteem_4,slfEsteem_5,slfEsteem_6,slfEsteem_7,slfEsteem_8,slfEsteem_9,slfEsteem_10,MoralId_1,MoralId_2,MoralId_3,MoralId_4,MoralId_5,MoralId_6,MoralId_7,MoralId_8,MoralId_9,MoralId_10,MoralId_11,MoralId_12,MoralId_13,MoralId_14,MoralId_15,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,IRI_8,IRI_9,IRI_10,IRI_11,IRI_12,IRI_13,IRI_14,Reltion_slfEsteem_1,Reltion_slfEsteem_2,Reltion_slfEsteem_3,Reltion_slfEsteem_4,Reltion_slfEsteem_5,Reltion_slfEsteem_6,Reltion_slfEsteem_7,Reltion_slfEsteem_8
exp7.1,7001,3,3,2,3,3,3,2,3,2,3,1,1,1,0,-1,0,-1,-1,0,0,0,0,0,1,-1,3,4,2,3,3,2,2,4,3,4,5,3,2,3,2,3,2,2,2,3,2,3
exp7.1,7003,3,4,1,3,2,3,2,1,2,1,2,1,1,1,-1,1,-1,-1,-1,1,2,2,2,2,1,3,2,2,4,2,4,2,1,2,3,2,4,2,2,3,3,3,3,3,3,3,3
exp7.1,7004,4,4,2,4,2,3,3,2,1,1,2,1,0,0,-1,0,0,1,0,1,1,1,1,1,0,4,3,3,3,4,4,4,3,4,3,4,4,2,4,3,4,3,3,3,4,3,4
exp7.1,7005,4,4,3,4,3,3,1,1,2,1,0,1,-1,1,-1,0,-2,-1,-1,1,1,0,1,-1,1,3,3,4,4,4,2,2,4,3,4,4,4,2,4,3,3,3,2,3,3,2,2
exp7.1,7006,3,3,2,3,2,3,4,3,1,1,1,1,0,0,-1,1,1,1,1,2,1,1,0,1,1,2,4,4,4,3,5,4,3,3,4,5,3,3,4,2,3,3,2,2,3,2,2
exp7.1,7008,3,3,3,3,3,3,2,3,2,3,1,1,0,1,-1,0,0,1,0,1,1,1,1,1,0,4,3,5,4,4,4,4,4,4,3,4,3,4,4,3,2,3,3,3,3,2,2
exp7.1,7009,3,4,1,3,2,3,4,0,3,1,2,2,1,1,-1,2,1,2,1,0,0,1,0,1,1,4,2,2,4,4,4,3,3,2,5,4,5,4,4,3,3,3,3,3,3,3,3
exp7.1,7010,3,3,2,3,3,3,3,2,2,3,2,2,2,1,-2,1,1,1,1,1,1,2,2,2,1,3,2,2,4,4,4,2,2,2,4,4,4,4,4,3,3,4,3,3,3,3,3
exp7.1,7011,3,4,1,4,1,4,4,1,1,1,2,2,2,2,-1,1,1,2,1,1,2,2,2,2,0,2,4,1,4,2,4,2,4,4,4,4,4,5,4,3,4,3,4,4,4,3,4
exp7.1,7012,4,4,1,4,2,4,4,3,2,1,2,2,2,1,-2,2,2,2,2,2,1,1,0,1,1,4,3,3,5,5,4,2,5,1,4,4,5,4,4,3,3,3,2,2,3,3,3
exp7.1,7013,3,3,2,3,2,3,3,1,2,3,1,1,0,-1,-1,1,1,1,1,1,2,1,1,1,1,4,3,2,5,4,4,2,2,2,4,4,5,4,4,3,3,3,4,3,3,3,3
exp7.1,7014,3,3,3,3,3,3,3,2,3,3,2,2,1,1,0,0,1,1,0,2,2,2,1,1,1,4,4,4,4,3,4,2,4,2,4,3,3,3,3,3,3,3,3,2,4,2,2
exp7.1,7015,3,2,3,2,3,2,2,3,2,1,2,1,-1,0,1,-1,-1,-1,-1,1,2,1,0,-1,-1,4,4,4,3,4,4,4,4,2,4,3,3,4,3,2,4,3,2,3,3,2,2
exp7.1,7016,4,3,1,4,2,4,4,1,1,1,2,2,1,1,-2,0,1,2,1,2,2,2,2,2,1,4,2,3,4,2,4,1,2,1,4,4,4,3,4,3,3,3,4,3,4,2,3
exp7.1,7017,4,4,1,3,2,4,4,2,1,2,2,0,0,0,-1,1,0,2,0,1,2,2,2,1,0,4,2,3,5,2,4,3,4,3,4,5,2,2,2,3,3,4,4,3,4,4,2
exp7.1,7018,4,3,1,4,2,4,4,1,1,1,2,2,1,0,-2,1,0,0,0,1,1,1,1,2,1,4,1,2,4,2,5,2,3,2,4,5,3,4,4,4,4,4,4,3,4,3,4
exp7.1,7019,3,3,2,3,3,3,3,1,2,2,2,1,1,1,0,1,1,1,1,0,2,2,2,2,1,4,2,2,4,3,4,2,2,2,4,3,4,3,2,2,3,3,2,3,3,2,2
exp7.1,7020,3,3,3,3,3,2,2,2,2,2,2,2,1,1,-2,1,1,2,1,1,2,2,2,2,1,4,3,2,4,3,4,2,3,2,3,4,4,4,4,3,3,3,3,4,4,3,3
exp7.1,7022,4,4,2,3,4,3,3,1,1,1,2,1,1,2,-1,1,2,1,2,1,2,2,1,1,1,5,2,4,5,4,4,2,1,2,4,3,5,2,2,4,3,4,4,4,4,4,4
exp7.1,7021,4,4,3,4,2,4,3,1,3,1,2,2,2,1,-1,0,1,1,1,1,1,1,1,2,0,5,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,2,3,3,3,3
exp7.1,7023,4,4,1,3,2,4,3,1,2,2,2,1,1,0,-1,1,0,0,0,-1,1,1,0,0,0,2,3,4,2,2,3,4,4,4,3,5,3,2,3,3,3,3,3,3,3,3,2
exp7.1,7024,4,4,1,4,3,4,4,2,1,1,2,2,1,1,1,1,0,0,1,2,2,2,2,2,2,4,3,3,4,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3
exp7.1,7025,4,4,2,4,2,3,3,2,2,2,2,2,1,1,-1,1,1,1,1,1,1,2,2,2,1,4,3,2,5,4,5,2,4,3,4,4,5,3,4,3,3,4,3,4,4,4,3
exp7.1,7026,4,4,1,3,3,3,3,1,2,3,2,2,1,1,-2,1,1,2,1,2,2,2,2,2,1,4,2,2,4,4,4,2,3,4,4,4,5,4,3,4,3,4,3,3,4,3,3
exp7.1,7027,3,4,2,4,2,3,3,2,2,2,0,1,0,0,-1,1,0,0,0,2,2,2,2,2,1,4,2,3,4,4,5,2,4,1,4,4,5,4,4,3,3,3,3,3,3,2,2
exp7.1,7028,3,3,2,3,3,2,3,2,3,3,2,1,0,0,-1,1,1,2,1,2,2,2,2,2,1,4,4,4,4,4,3,2,2,3,3,5,3,3,2,2,3,3,3,3,3,2,3
exp7.1,7030,4,3,1,3,2,3,4,1,1,1,2,2,1,0,-2,0,0,1,0,1,2,1,2,2,0,4,2,3,4,4,4,2,3,1,5,4,4,4,4,2,4,4,3,3,4,2,3
exp7.1,7029,4,4,2,4,3,3,3,2,2,2,2,1,1,2,-1,0,0,2,2,1,2,2,1,1,0,4,3,2,4,4,3,2,2,1,4,5,4,3,4,3,3,3,4,2,4,2,3
exp7.1,7032,4,3,1,3,2,3,4,2,2,2,2,2,1,1,-2,1,1,1,1,1,2,2,2,2,1,4,2,3,4,4,4,2,3,4,4,4,4,4,3,3,4,4,4,3,4,3,3
exp7.1,7031,3,4,2,3,3,2,3,3,3,3,2,2,1,1,0,1,1,1,1,0,1,0,1,1,1,4,2,2,3,2,3,3,4,2,2,4,4,2,2,2,3,3,1,2,3,2,2
exp7.1,7033,3,4,2,4,2,4,4,1,1,2,1,1,2,1,-1,0,0,1,1,1,2,2,2,2,1,4,2,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3
exp7.1,7034,4,4,1,4,1,4,4,1,1,1,2,2,1,1,-2,1,1,2,1,2,2,2,2,2,1,4,2,2,4,4,4,2,3,1,5,4,4,5,5,4,4,4,3,3,3,4,2
exp7.1,7035,3,3,2,3,3,3,3,2,2,2,1,1,1,0,-1,1,1,1,0,0,1,0,2,1,1,4,5,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,3,4,3,2,-7
