"Subject","ACC_Good_Self","ACC_Good_Other","ACC_Bad_Self","ACC_Bad_Other","good_bad_slf","good_bad_oth","slf_oth_good","slf_oth_bad","RT_Good_Self","RT_Good_Other","RT_Bad_Self","RT_Bad_Other"
7003,0.972222222222222,0.965277777777778,0.972222222222222,0.965277777777778,0,0.00694444444444442,0.00694444444444442,0.00694444444444442,580.695714285714,570.984892086331,577.690714285714,615.16618705036
7004,0.916666666666667,0.847222222222222,0.846153846153846,0.979166666666667,0.0705128205128205,-0.0625,0.0694444444444444,-0.13301282051282,502.750757575758,551.981967213115,501.357851239669,497.66524822695
7005,1,0.979166666666667,0.958333333333333,0.909722222222222,0.0416666666666666,0.0902777777777778,0.0208333333333334,0.0486111111111112,471.479861111111,482.684397163121,538.060144927536,502.132061068702
7006,0.909722222222222,0.965277777777778,0.958333333333333,0.902777777777778,-0.0486111111111112,0.00694444444444442,-0.0555555555555556,0.0555555555555556,502.508396946565,462.097122302158,484.769565217391,523.828461538462
7007,0.965277777777778,0.972222222222222,0.958333333333333,0.993055555555556,0.00694444444444442,-0.0277777777777778,-0.00694444444444442,-0.0347222222222222,505.705035971223,532.841428571429,547.871739130435,513.723776223776
7008,0.798611111111111,0.784722222222222,0.833333333333333,0.833333333333333,-0.0347222222222222,-0.0347222222222222,0.013888888888889,0,442.254782608696,486.008849557522,483.770833333333,479.993333333333
7009,0.875,0.833333333333333,0.861111111111111,0.868055555555556,0.0138888888888888,0.00694444444444442,0.0416666666666666,-0.00694444444444442,573.685714285714,609.381666666667,638.032258064516,552.7472
7010,0.972222222222222,0.993055555555556,0.993055555555556,0.958333333333333,-0.0208333333333334,0.0138888888888888,-0.0208333333333334,0.0347222222222222,472.936428571429,425.732167832168,432.368531468532,454.420289855072
7011,0.951388888888889,0.9375,0.930555555555556,0.944444444444444,0.0208333333333333,0.00694444444444442,0.0138888888888888,-0.0138888888888888,506.132116788321,545.79037037037,493.885074626866,519.783823529412
7012,0.833333333333333,0.784722222222222,0.75,0.804195804195804,0.0833333333333334,0.0291375291375292,0.0486111111111112,-0.0541958041958042,467.7275,518.605309734513,497.186111111111,485.902608695652
7013,0.993055555555556,0.951388888888889,0.972222222222222,0.965277777777778,0.0208333333333334,0.0277777777777778,0.0416666666666667,0.00694444444444442,453.246153846154,496.342335766423,537.160714285714,525.305755395683
7014,0.796992481203007,0.740458015267176,0.616541353383459,0.125925925925926,0.180451127819549,0.671066555277082,0.0565344659358319,0.490615427457533,493.682075471698,470.636082474227,506.040243902439,538.729411764706
7015,0.930555555555556,0.902777777777778,0.847222222222222,0.951388888888889,0.0833333333333334,-0.0208333333333333,0.0277777777777778,-0.104166666666667,510.414179104478,530.893846153846,523.727049180328,521.913868613139
7016,0.986111111111111,0.875,0.888888888888889,0.986111111111111,0.0972222222222223,0,0.111111111111111,-0.0972222222222223,499.22323943662,640.696825396825,584.2171875,525.805633802817
7018,1,1,1,1,0,0,0,0,505.721527777778,458.879166666667,495.790972222222,546.207638888889
7019,0.930555555555556,0.868055555555556,0.909722222222222,0.895833333333333,0.0208333333333334,0.0347222222222222,0.0625,0.0138888888888888,571.361194029851,582.7712,587.624427480916,571.981395348837
7020,1,0.958333333333333,0.993055555555556,1,0.00694444444444442,0,0.0416666666666666,-0.00694444444444442,596.802083333333,619.713768115942,587.846853146853,600.005555555556
7022,0.923611111111111,0.944444444444444,0.895833333333333,0.902777777777778,0.0277777777777778,0.0208333333333334,-0.0208333333333333,-0.00694444444444442,598.152631578947,601.144117647059,623.56976744186,663.649230769231
7023,0.916666666666667,0.868055555555556,0.8125,0.944444444444444,0.104166666666667,-0.0277777777777778,0.048611111111111,-0.131944444444444,508.488636363636,513.6176,515.306837606838,524.027205882353
7024,0.636363636363636,0.556390977443609,0.632,0.619834710743802,0.00436363636363635,0.0165289256198347,0.0799726589200274,0.0121652892561983,381.58961038961,416.345945945946,410.349367088608,437.84
7025,0.979166666666667,0.840277777777778,0.854166666666667,0.979166666666667,0.125,0,0.138888888888889,-0.125,500.528368794326,559.559504132231,538.275609756098,498.86524822695
7026,0.833333333333333,0.979166666666667,0.875,0.854166666666667,-0.0416666666666666,-0.0208333333333333,-0.145833333333333,0.0208333333333334,532.17,456.520567375887,525.720634920635,553.884552845528
7028,0.993055555555556,0.840277777777778,0.916666666666667,0.965277777777778,0.076388888888889,0.0277777777777778,0.152777777777778,-0.0486111111111112,548.662937062937,662.652066115702,623.731060606061,596.735251798561
7029,0.930555555555556,0.805555555555556,0.909722222222222,0.895833333333333,0.0208333333333334,0.0347222222222222,0.125,0.0138888888888888,547.391791044776,615.980172413793,602.421374045801,600.654263565891
7030,0.965277777777778,0.972222222222222,0.993055555555556,0.993055555555556,-0.0277777777777778,-0.0277777777777778,-0.00694444444444442,0,501.43309352518,468.03,501.016783216783,502.617482517483
7031,0.902777777777778,0.833333333333333,0.840277777777778,0.9375,0.0625,-0.0347222222222222,0.0694444444444444,-0.0972222222222222,612.464615384615,683.453333333333,609.540495867769,618.244444444444
7032,0.930555555555556,0.79020979020979,0.802816901408451,0.838028169014085,0.127738654147105,0.0925273865414711,0.140345765345765,-0.0352112676056338,464.599253731343,619.910619469027,586.664035087719,584.116806722689
7033,0.965277777777778,0.930555555555556,0.979166666666667,0.986111111111111,-0.0138888888888888,-0.0208333333333334,0.0347222222222222,-0.00694444444444453,547.143884892086,574.441791044776,519.35390070922,456.522535211268
7034,0.958333333333333,0.888888888888889,0.846153846153846,0.951388888888889,0.112179487179487,0.00694444444444453,0.0694444444444445,-0.105235042735043,477.715942028986,426.921875,446.081818181818,475.15401459854
